,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
pos,,,,,,,,,,,,,,,,,,
C,-1.7235970087091501,-1.6479742134050868,-1.6911896117828322,1.7117519931288852,-0.1451473298747779,0.9245978737864315,-1.1368659927585738,-1.6851725824951407,-1.744955730281864,-1.2974638702321513,1.5456030339102407,-1.72726677034923,-1.7188467314185059,-1.656783061868174,-1.679807518571436,1.9312908764916359,-1.7924225377306555,0.400352599240542
PF,-0.279742991491127,-0.4583861047370451,-0.3793298491424819,0.45974207320974475,1.9585082281076516,1.462692074071619,-0.49753052355945526,1.0199467310915473,-0.2411794239876277,-0.3719194743145791,0.7910156941224127,-0.22136580968846434,-0.22184581813508183,-0.12749089312786183,-0.2463346568244775,-0.10836136960151571,-0.39128999396354963,-1.7708799935095665
PG,1.0887302856616548,0.8371432033641806,0.8834764258971819,-0.9761646759932936,-0.4467203294456856,-0.8491752518073993,1.8109614486325962,0.25237844101047613,1.192749348954144,1.7136279591830348,-1.0486161997741195,1.0748837171208296,1.0743937969186608,1.4686392242788566,1.4028549947970232,-0.8133332601639303,0.8690204152399909,-0.23124090369190983
SF,0.04055066688885132,0.10178664259266712,0.08809081804730622,-0.28844091716446996,-0.6134436137613094,-0.5436092931966973,-0.37536271324912057,-0.4903494513333437,0.1142212604234418,-0.3690832810686621,-0.4761706316592155,-0.027050745317178097,-0.04996114499323124,0.28451019342774736,0.34117051744213306,-0.29596795173126617,0.5715864400438356,0.3722825570839891
SG,0.8740590476497716,1.1674304721852842,1.0989522169808261,-0.9068884731808663,-0.7531969550258765,-0.9945054028539526,0.19879778093455394,0.9031968617264654,0.6791645448919049,0.3248386664323572,-0.8118318965993183,0.9007996082340434,0.9162598976281582,0.031124537289430827,0.18211666315675626,-0.7136282949949249,0.743105676410381,1.2294857408769146
