player_id,firstname,lastname,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
126,Anthony,Davis,982.0,15.0,77.0,109.0,306.0,415.0,129.0,101.0,58.0,84.0,95.0,742.0,385.0,280.0,197.0,0.5188679245283019,0.7035714285714286,0.19480519480519481
131,Dewayne,Dedmon,485.0,20.0,59.0,120.0,317.0,437.0,53.0,219.0,26.0,83.0,47.0,342.0,187.0,121.0,91.0,0.5467836257309941,0.7520661157024794,0.3389830508474576
136,DeMar,DeRozan,2299.0,53.0,160.0,60.0,380.0,440.0,413.0,197.0,78.0,201.0,28.0,1699.0,843.0,639.0,560.0,0.4961742201294879,0.8763693270735524,0.33125
142,Spencer,Dinwiddie,1228.0,159.0,442.0,53.0,282.0,335.0,430.0,198.0,61.0,139.0,19.0,967.0,404.0,332.0,261.0,0.41778697001034126,0.786144578313253,0.3597285067873303
147,Andre,Drummond,673.0,0.0,3.0,248.0,486.0,734.0,146.0,213.0,88.0,135.0,78.0,492.0,283.0,200.0,107.0,0.5752032520325203,0.535,0.0
153,Kevin,Durant,1833.0,130.0,337.0,33.0,422.0,455.0,392.0,131.0,55.0,218.0,57.0,1257.0,641.0,464.0,421.0,0.5099443118536198,0.9073275862068966,0.3857566765578635
157,Wayne,Ellington,309.0,86.0,227.0,10.0,80.0,90.0,34.0,49.0,24.0,19.0,6.0,258.0,104.0,18.0,15.0,0.40310077519379844,0.8333333333333334,0.3788546255506608
169,Derrick,Favors,216.0,2.0,17.0,59.0,130.0,189.0,25.0,64.0,17.0,11.0,12.0,189.0,99.0,25.0,16.0,0.5238095238095238,0.64,0.11764705882352941
175,Dorian,Finney-Smith,1107.0,220.0,551.0,161.0,328.0,489.0,191.0,240.0,107.0,103.0,49.0,867.0,405.0,112.0,77.0,0.4671280276816609,0.6875,0.3992740471869328
176,Bryn,Forbes,747.0,139.0,333.0,12.0,91.0,103.0,87.0,107.0,27.0,62.0,5.0,606.0,261.0,96.0,86.0,0.4306930693069307,0.8958333333333334,0.4174174174174174
186,Rudy,Gay,446.0,70.0,203.0,55.0,187.0,242.0,56.0,95.0,25.0,47.0,19.0,379.0,157.0,79.0,62.0,0.41424802110817943,0.7848101265822784,0.3448275862068966
189,Paul,George,803.0,99.0,279.0,12.0,215.0,227.0,187.0,80.0,71.0,132.0,13.0,678.0,284.0,160.0,136.0,0.41887905604719766,0.85,0.3548387096774194
