player_id,firstname,lastname,points,minutes,fgm,fga,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fgp,ftp
117,DeMarcus,Cousins,483.0,773.9333333333333,168.0,353.0,106.0,140.0,41.0,128.0,1565.2,77.0,210.0,287.0,77.0,148.0,38.0,92.0,22.0,0.47592067988668557,0.7571428571428571
118,Robert,Covington,650.0,2070.25,222.0,530.0,70.0,82.0,136.0,360.0,2683.4,64.0,353.0,417.0,94.0,202.0,109.0,78.0,95.0,0.4188679245283019,0.8536585365853658
121,Jae,Crowder,777.0,2330.4,267.0,672.0,91.0,117.0,152.0,445.0,2843.7,39.0,392.0,431.0,159.0,224.0,110.0,78.0,37.0,0.39732142857142855,0.7777777777777778
123,Seth,Curry,1054.0,2359.2833333333333,394.0,807.0,89.0,104.0,177.0,414.0,3086.5,24.0,193.0,217.0,245.0,176.0,59.0,116.0,18.0,0.4882280049566295,0.8557692307692307
124,Stephen,Curry,2380.0,3101.7166666666667,788.0,1761.0,395.0,443.0,409.0,1048.0,3494.5,46.0,427.0,473.0,545.0,193.0,125.0,280.0,33.0,0.44747302668938105,0.891647855530474
126,Anthony,Davis,982.0,1494.6666666666667,385.0,742.0,197.0,280.0,15.0,77.0,644.9,109.0,306.0,415.0,129.0,101.0,58.0,84.0,95.0,0.5188679245283019,0.7035714285714286
128,Ed,Davis,28.0,201.3,11.0,16.0,6.0,14.0,0.0,0.0,0.0,14.0,50.0,64.0,7.0,33.0,3.0,5.0,9.0,0.6875,0.42857142857142855
131,Dewayne,Dedmon,485.0,1252.3166666666666,187.0,342.0,91.0,121.0,20.0,59.0,1383.3,120.0,317.0,437.0,53.0,219.0,26.0,83.0,47.0,0.5467836257309941,0.7520661157024794
136,DeMar,DeRozan,2299.0,3089.8166666666666,843.0,1699.0,560.0,639.0,53.0,160.0,2471.7,60.0,380.0,440.0,413.0,197.0,78.0,201.0,28.0,0.4961742201294879,0.8763693270735524
142,Spencer,Dinwiddie,1228.0,2575.2,404.0,967.0,261.0,332.0,159.0,442.0,2828.1,53.0,282.0,335.0,430.0,198.0,61.0,139.0,19.0,0.41778697001034126,0.786144578313253
147,Andre,Drummond,673.0,1602.8,283.0,492.0,107.0,200.0,0.0,3.0,0.0,248.0,486.0,734.0,146.0,213.0,88.0,135.0,78.0,0.5752032520325203,0.535
