PlayerCluster,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
0,41305.0,6128.0,17502.0,2578.0,11179.0,13757.0,9531.0,7530.0,3231.0,4766.0,1241.0,35131.0,14837.0,6827.0,5503.0,0.42233355156414565,0.8060641570235828,0.3501314135527368
1,61679.0,9201.0,25026.0,4464.0,17891.0,22355.0,12676.0,11576.0,5000.0,6263.0,2466.0,50108.0,22256.0,10032.0,7966.0,0.4441606130757564,0.7940590111642744,0.36765763605849916
2,20254.0,864.0,2571.0,4328.0,9705.0,14033.0,2996.0,4651.0,1325.0,2374.0,2150.0,14542.0,7984.0,4989.0,3422.0,0.5490303947187457,0.685908999799559,0.33605600933488916
3,63145.0,6817.0,18785.0,2574.0,13931.0,16505.0,17910.0,7362.0,3588.0,8369.0,1344.0,49498.0,22569.0,13418.0,11190.0,0.45595781647743344,0.8339543896258756,0.36289592760180994
4,15826.0,976.0,2965.0,3044.0,6819.0,9863.0,2788.0,4163.0,1379.0,1938.0,1218.0,12154.0,6287.0,3374.0,2276.0,0.5172782623004772,0.6745702430349734,0.32917369308600336
