id,firstname,lastname,college,affiliation,date,country,start,pro,pounds,jersey,active,pos,height(in)
375,Anthony,Morrow,Georgia Tech,Georgia Tech/USA,1985-09-27,USA,2008,8,210,11,False,G,77
382,Dejounte,Murray,Washington,Washington/USA,1996-09-19,USA,2016,4,180,5,True,G,76
384,Mike,Muscala,Bucknell,Bucknell/USA,1991-07-01,USA,2013,8,240,33,True,F-C,82
385,Larry,Nance Jr.,Wyoming,Wyoming/USA,1993-01-01,USA,2015,6,245,22,True,F-C,79
386,Shabazz,Napier,Connecticut,Connecticut/USA,1991-07-14,USA,2014,6,175,5,True,G,72
391,Georges,Niang,Iowa State,Iowa State/USA,1993-06-17,USA,2016,5,230,20,True,F,79
394,Nerlens,Noel,Kentucky,Kentucky/USA,1994-04-10,USA,2014,7,220,3,True,C-F,83
400,Kyle,O'Quinn,Norfolk State,Norfolk State/USA,1990-03-26,USA,2012,8,250,9,True,C-F,81
401,Daniel,Ochefu,Villanova,Villanova/USA,1993-12-15,USA,2016,0,245,32,False,F,83
403,Victor,Oladipo,Indiana,Indiana/USA,1992-05-04,USA,2013,8,213,4,True,G,76
407,Kelly,Oubre Jr.,Kansas,Kansas/USA,1995-12-09,USA,2015,6,203,12,True,F-G,78
415,Chris,Paul,Wake Forest,Wake Forest/USA,1985-05-06,USA,2005,16,175,3,True,G,72
416,Adreian,Payne,Michigan State,Michigan State/USA,1991-02-19,USA,2014,2,237,33,False,F,82
417,Cameron,Payne,Murray State,Murray State/USA,1994-08-08,USA,2015,6,183,15,True,G,73
418,Elfrid,Payton,Louisana-Lafayette,Louisana-Lafayette/USA,1994-02-22,USA,2014,7,195,2,True,G,75
422,Kendrick,Perkins,Clifton J. Ozen HS (TX),Clifton J. Ozen HS (TX)/USA,1984-11-10,USA,2003,14,270,21,True,C,82
423,Paul,Pierce,Kansas,Kansas/USA,1977-10-13,USA,1998,18,235,34,False,F,79
425,Marshall,Plumlee,Duke,Duke/USA,1992-07-14,USA,2016,2,250,40,True,C,84
426,Mason,Plumlee,Duke,Duke/USA,1990-03-05,USA,2013,8,254,24,True,F-C,83
430,Otto,Porter Jr.,Georgetown,Georgetown/USA,1993-06-03,USA,2013,8,198,32,True,F,80
431,Bobby,Portis,Arkansas,Arkansas/USA,1995-02-10,USA,2015,6,250,9,True,F,82
434,Norman,Powell,UCLA,UCLA/USA,1993-05-25,USA,2015,6,215,24,True,G,75
437,Taurean,Prince,Baylor,Baylor/USA,1994-03-22,USA,2016,5,218,12,True,F,78
439,Tim,Quarterman,Louisiana State,Louisiana State/USA,1994-10-27,USA,2016,0,190,55,False,G,78
441,Julius,Randle,Kentucky,Kentucky/USA,1994-11-29,USA,2014,7,250,30,True,F-C,80
444,JJ,Redick,Duke,Duke/USA,1984-06-24,USA,2006,15,200,17,True,G,75
445,Willie,Reed,Saint Louis,St. Louis/USA,1990-05-16,USA,2015,1,245,35,False,F-C,83
446,Josh,Richardson,Tennessee,Tennessee/USA,1993-09-15,USA,2015,6,200,7,True,G,77
447,Malachi,Richardson,Syracuse,Syracuse/USA,1996-01-05,USA,2016,2,205,22,True,G,78
448,Austin,Rivers,Duke,Duke/USA,1992-08-01,USA,2012,9,200,25,True,G,76
455,Rajon,Rondo,Kentucky,Kentucky/USA,1986-02-22,USA,2006,15,180,1,True,G,73
456,Derrick,Rose,Memphis,Memphis/USA,1988-10-04,USA,2008,12,200,4,True,G,74
457,Terrence,Ross,Washington,Washington/USA,1991-02-05,USA,2012,9,206,31,True,G-F,78
458,Terry,Rozier,Louisville,Louisville/USA,1994-03-17,USA,2015,6,190,3,True,G,73
466,JaKarr,Sampson,St. John's,St. John's/USA,1993-03-20,USA,2014,6,214,14,True,F,79
474,Mike,Scott,Virginia,Virginia/USA,1988-07-16,USA,2012,9,237,1,True,F,79
482,Jonathon,Simmons,Houston, USA/USA,1989-09-14,USA,2015,4,195,14,True,F,78
484,Kyle,Singler,Duke,Duke/USA,1988-05-04,USA,2012,6,228,15,True,F,80
486,Marcus,Smart,Oklahoma State,Oklahoma State/USA,1994-03-06,USA,2014,7,220,36,True,G,76
488,Ish,Smith,Wake Forest,Wake Forest/USA,1988-07-05,USA,2010,11,175,14,True,G,72
492,Tony,Snell,New Mexico,New Mexico/USA,1991-11-10,USA,2013,8,213,21,True,G,78
497,Lance,Stephenson,Cincinnati,Cincinnati/USA,1990-09-05,USA,2010,9,210,6,True,F,77
498,Jarnell,Stokes,Tennessee,Tennessee/USA,1994-01-07,USA,2014,3,255,2,True,F-C,81
505,Jeff,Teague,Wake Forest,Wake Forest/USA,1988-06-10,USA,2009,12,195,5,True,G,75
507,Garrett,Temple,Louisiana State,Louisiana State/USA,1986-05-08,USA,2009,11,195,41,True,G-F,77
508,Jason,Terry,Arizona,Arizona/USA,1977-09-15,USA,1999,19,185,3,True,G,74
510,Isaiah,Thomas,Washington,Washington/USA,1989-02-07,USA,2011,10,185,4,True,G,69
514,Klay,Thompson,Washington State,Washington State/USA,1990-02-08,USA,2011,8,220,11,True,G,78
519,Karl-Anthony,Towns,Kentucky,Kentucky/USA,1995-11-15,USA,2015,6,248,32,True,C-F,83
520,P.J.,Tucker,Texas,Texas/USA,1985-05-05,USA,2006,10,245,17,True,F,77
521,Evan,Turner,Ohio State,Ohio State/USA,1988-10-27,USA,2010,10,220,1,True,G-F,78
522,Myles,Turner,Texas,Texas/USA,1996-03-24,USA,2015,6,250,33,True,C-F,83
527,Fred,VanVleet,Wichita State,Wichita State/USA,1994-02-25,USA,2016,5,197,23,True,G,73
531,Rashad,Vaughn,UNLV,Nevada-Las Vegas/USA,1996-08-16,USA,2015,3,210,20,True,G,78
537,Dion,Waiters,Syracuse,Syracuse/USA,1991-12-10,USA,2012,8,210,18,True,G,75
538,Kemba,Walker,Connecticut,Connecticut/USA,1990-05-08,USA,2011,10,184,8,True,G,72
539,John,Wall,Kentucky,Kentucky/USA,1990-09-06,USA,2010,10,210,11,True,G,75
540,T.J.,Warren,North Carolina State,North Carolina State/USA,1993-09-05,USA,2014,7,220,1,True,F,80
541,C.J.,Watson,Tennessee,Tennessee/USA,1984-04-17,USA,2007,9,175,32,False,G,74
546,Hassan,Whiteside,Marshall,Marshall/USA,1989-06-13,USA,2010,9,265,21,True,C,84
550,Alan,Williams,Cal-Santa Barbara,California-Santa Barbara/USA,1993-01-28,USA,2015,4,265,15,True,F-C,80
551,Deron,Williams,Illinois,Illinois/USA,1984-06-26,USA,2005,11,200,31,False,G,75
552,Derrick,Williams,Arizona,Arizona/USA,1991-05-25,USA,2011,5,240,3,False,F,80
553,Lou,Williams,South Gwinnett HS (GA),South Gwinnett HS (GA)/USA,1986-10-27,USA,2005,16,175,6,True,G,74
554,Marvin,Williams,North Carolina,North Carolina/USA,1986-06-19,USA,2005,15,237,20,True,F,80
556,Troy,Williams,Indiana,Indiana/USA,1994-12-30,USA,2016,3,218,19,True,F,79
557,Kyle,Wiltjer,Gonzaga,Gonzaga/USA,1992-10-20,USA,2016,0,240,30,False,F,82
558,Justise,Winslow,Duke,Duke/USA,1996-03-26,USA,2015,6,222,26,True,F-G,78
559,Jeff,Withey,Kansas,Kansas/USA,1990-03-07,USA,2013,3,231,24,False,C,84
560,Christian,Wood,UNLV,UNLV/USA,1995-09-27,USA,2015,5,214,35,True,F,81
562,Metta,World Peace,St. John's (NY),St. John's/USA,1979-11-13,USA,1999,16,260,37,False,F,79
563,Brandan,Wright,North Carolina,North Carolina/USA,1987-10-05,USA,2007,8,210,34,False,F,82
564,Delon,Wright,Utah,Utah/USA,1992-04-26,USA,2015,6,185,55,True,G,77
567,James,Young,Kentucky,Kentucky/USA,1995-08-16,USA,2014,4,239,8,True,G-F,79
568,Joe,Young,Oregon,Oregon/USA,1992-06-27,USA,2015,3,185,3,True,G,74
569,Nick,Young,Southern California,USC/USA,1985-06-01,USA,2007,11,210,34,True,G-F,79
570,Thaddeus,Young,Georgia Tech,Georgia Tech/USA,1988-06-21,USA,2007,14,235,21,True,F,80
586,Jonathan,Gibson,New Mexico State,New Mexico State/USA,1987-11-08,USA,2016,3,185,3,True,G,74
594,Wayne,Selden,Kansas,Kansas/USA,1994-09-30,USA,2016,3,232,11,True,G,76
598,Yogi,Ferrell,Indiana,Indiana/USA,1993-05-09,USA,2016,5,178,11,True,G,72
599,Damion,Lee,Drexel,Drexel/USA,1992-10-21,USA,2017,4,210,10,True,G-F,77
600,Alex,Poythress,Kentucky,Kentucky/USA,1993-09-06,USA,2016,3,235,22,True,F,81
609,Ryan,Arcidiacono,Villanova,Villanova/USA,1994-03-26,USA,2017,4,195,51,True,G,75
625,Jalen,Jones,Texas A&M,Texas A&M/USA,1993-05-27,USA,2017,2,220,32,True,F,79
631,Alex,Caruso,Texas A&M,Texas A&M/USA,1994-02-28,USA,2017,4,186,6,True,G,77
